Location	Compound	Negative	Neutral	Positive	My Score	Mine	Geometry
Kingston Upon Hull	0.9991	0.094	0.754	0.153	Neutral	0.05	<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.344981,53.76218,0.0 -0.350308,53.761905,0.0 -0.355473,53.761086,0.0 -0.360318,53.75975,0.0 -0.364697,53.757936,0.0 -0.368477,53.7557,0.0 -0.371541,53.753111,0.0 -0.373799,53.750245,0.0 -0.37518,53.747192,0.0 -0.375644,53.744043,0.0 -0.375176,53.740894,0.0 -0.37379,53.737841,0.0 -0.37153,53.734977,0.0 -0.368464,53.732388,0.0 -0.364684,53.730154,0.0 -0.360307,53.728341,0.0 -0.355464,53.727006,0.0 -0.350303,53.726188,0.0 -0.344981,53.725913,0.0 -0.339659,53.726188,0.0 -0.334498,53.727006,0.0 -0.329655,53.728341,0.0 -0.325278,53.730154,0.0 -0.321499,53.732388,0.0 -0.318432,53.734977,0.0 -0.316172,53.737841,0.0 -0.314786,53.740894,0.0 -0.314318,53.744043,0.0 -0.314782,53.747192,0.0 -0.316163,53.750245,0.0 -0.318421,53.753111,0.0 -0.321486,53.7557,0.0 -0.325265,53.757936,0.0 -0.329644,53.75975,0.0 -0.33449,53.761086,0.0 -0.339654,53.761905,0.0 -0.344981,53.76218,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Humber	-0.9987	0.083	0.79	0.115	Negative	-0.9	<Polygon><outerBoundaryIs><LinearRing><coordinates>0.039999,53.67618,0.0 0.014764,53.674869,0.0 -0.009698,53.670978,0.0 -0.032643,53.664625,0.0 -0.053368,53.656004,0.0 -0.071244,53.645379,0.0 -0.085726,53.633073,0.0 -0.096376,53.619462,0.0 -0.102875,53.604961,0.0 -0.105028,53.59001,0.0 -0.102774,53.575065,0.0 -0.096187,53.560579,0.0 -0.08547,53.546992,0.0 -0.070953,53.534715,0.0 -0.053077,53.52412,0.0 -0.032387,53.515527,0.0 -0.009509,53.509198,0.0 0.014865,53.505322,0.0 0.039999,53.504017,0.0 0.065132,53.505322,0.0 0.089506,53.509198,0.0 0.112384,53.515527,0.0 0.133075,53.52412,0.0 0.15095,53.534715,0.0 0.165467,53.546992,0.0 0.176184,53.560579,0.0 0.182771,53.575065,0.0 0.185025,53.59001,0.0 0.182872,53.604961,0.0 0.176374,53.619462,0.0 0.165723,53.633073,0.0 0.151241,53.645379,0.0 0.133366,53.656004,0.0 0.11264,53.664625,0.0 0.089696,53.670978,0.0 0.065233,53.674869,0.0 0.039999,53.67618,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Sale, Morocco 	0.9995	0.083	0.802	0.115	Negative	-0.5	<Polygon><outerBoundaryIs><LinearRing><coordinates>-6.763947,34.137461,0.0 -6.784642,34.13596,0.0 -6.804706,34.131505,0.0 -6.823527,34.124231,0.0 -6.840532,34.114359,0.0 -6.855205,34.102191,0.0 -6.867098,34.088096,0.0 -6.875852,34.072505,0.0 -6.881202,34.055891,0.0 -6.882986,34.038761,0.0 -6.881154,34.021633,0.0 -6.875763,34.00503,0.0 -6.866978,33.989454,0.0 -6.855069,33.975378,0.0 -6.840396,33.96323,0.0 -6.823407,33.953377,0.0 -6.804617,33.946117,0.0 -6.784595,33.941672,0.0 -6.763947,33.940175,0.0 -6.7433,33.941672,0.0 -6.723278,33.946117,0.0 -6.704488,33.953377,0.0 -6.687499,33.96323,0.0 -6.672826,33.975378,0.0 -6.660916,33.989454,0.0 -6.652132,34.00503,0.0 -6.64674,34.021633,0.0 -6.644908,34.038761,0.0 -6.646693,34.055891,0.0 -6.652043,34.072505,0.0 -6.660796,34.088096,0.0 -6.67269,34.102191,0.0 -6.687362,34.114359,0.0 -6.704368,34.124231,0.0 -6.723189,34.131505,0.0 -6.743253,34.13596,0.0 -6.763947,34.137461,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Cape de Verde	0.9966	0.082	0.812	0.106	Positive	0.1	<Polygon><outerBoundaryIs><LinearRing><coordinates>-22.923437,16.811197,0.0 -22.956737,16.808406,0.0 -22.989023,16.800116,0.0 -23.019311,16.78658,0.0 -23.046679,16.768212,0.0 -23.070293,16.745569,0.0 -23.089438,16.719342,0.0 -23.103531,16.690329,0.0 -23.112147,16.659412,0.0 -23.115026,16.627531,0.0 -23.112084,16.595656,0.0 -23.103413,16.564754,0.0 -23.089279,16.535764,0.0 -23.070113,16.509566,0.0 -23.046498,16.486954,0.0 -23.019152,16.468614,0.0 -22.988905,16.455102,0.0 -22.956675,16.446827,0.0 -22.923437,16.444041,0.0 -22.890199,16.446827,0.0 -22.857968,16.455102,0.0 -22.827721,16.468614,0.0 -22.800375,16.486954,0.0 -22.776761,16.509566,0.0 -22.757595,16.535764,0.0 -22.74346,16.564754,0.0 -22.734789,16.595656,0.0 -22.731847,16.627531,0.0 -22.734726,16.659412,0.0 -22.743342,16.690329,0.0 -22.757436,16.719342,0.0 -22.77658,16.745569,0.0 -22.800195,16.768212,0.0 -22.827562,16.78658,0.0 -22.85785,16.800116,0.0 -22.890136,16.808406,0.0 -22.923437,16.811197,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Brazil	0.9993	0.051	0.828	0.121	Neutral	0.05	<Polygon><outerBoundaryIs><LinearRing><coordinates>-53.683092,5.295473,0.0 -56.015346,5.093538,0.0 -58.276358,4.494235,0.0 -60.39816,3.516677,0.0 -62.318801,2.191523,0.0 -63.984202,0.559405,0.0 -65.349035,-1.330851,0.0 -66.37677,-3.424002,0.0 -67.039248,-5.659962,0.0 -67.316163,-7.975127,0.0 -67.194853,-10.303483,0.0 -66.67066,-12.57761,0.0 -65.748017,-14.729786,0.0 -64.442203,-16.693372,0.0 -62.781465,-18.404669,0.0 -60.808952,-19.805332,0.0 -58.583682,-20.845253,0.0 -56.179722,-21.485661,0.0 -53.683092,-21.701946,0.0 -51.186463,-21.485661,0.0 -48.782503,-20.845253,0.0 -46.557233,-19.805332,0.0 -44.58472,-18.404669,0.0 -42.923982,-16.693372,0.0 -41.618168,-14.729786,0.0 -40.695525,-12.57761,0.0 -40.171332,-10.303483,0.0 -40.050022,-7.975127,0.0 -40.326937,-5.659962,0.0 -40.989415,-3.424002,0.0 -42.01715,-1.330851,0.0 -43.381983,0.559405,0.0 -45.047384,2.191523,0.0 -46.968025,3.516677,0.0 -49.089827,4.494235,0.0 -51.350839,5.093538,0.0 -53.683092,5.295473,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Brazil to Island 	0.9722	0.087	0.815	0.098	Negative	-0.5	<Polygon><outerBoundaryIs><LinearRing><coordinates>-85.465884,9.7753,0.0 -86.640434,9.672681,0.0 -87.7777,9.368126,0.0 -88.84187,8.871397,0.0 -89.799948,8.198303,0.0 -90.622869,7.370066,0.0 -91.286326,6.412511,0.0 -91.771317,5.355155,0.0 -92.064443,4.230246,0.0 -92.15802,3.071791,0.0 -92.050079,1.914591,0.0 -91.744289,0.793303,0.0 -91.249845,-0.258494,0.0 -90.581292,-1.20921,0.0 -89.758272,-2.030142,0.0 -88.805138,-2.696349,0.0 -87.750386,-3.187446,0.0 -86.625883,-3.488317,0.0 -85.465884,-3.589654,0.0 -84.305885,-3.488317,0.0 -83.181382,-3.187446,0.0 -82.126631,-2.696349,0.0 -81.173497,-2.030142,0.0 -80.350477,-1.20921,0.0 -79.681923,-0.258494,0.0 -79.187479,0.793303,0.0 -78.88169,1.914591,0.0 -78.773748,3.071791,0.0 -78.867325,4.230246,0.0 -79.160451,5.355155,0.0 -79.645443,6.412511,0.0 -80.3089,7.370066,0.0 -81.131821,8.198303,0.0 -82.089899,8.871397,0.0 -83.154069,9.368126,0.0 -84.291334,9.672681,0.0 -85.465884,9.7753,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Robinson Crusoe's Island 	0.9676	0.101	0.798	0.1	Positive	0.5	<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.516021,-28.777315,0.0 -81.536963,-28.851393,0.0 -82.531475,-29.071687,0.0 -83.47353,-29.432418,0.0 -84.337896,-29.924063,0.0 -85.100566,-30.533531,0.0 -85.739195,-31.244394,0.0 -86.233597,-32.037183,0.0 -86.566298,-32.889755,0.0 -86.723186,-33.777727,0.0 -86.694245,-34.675001,0.0 -86.474378,-35.554393,0.0 -86.064262,-36.388368,0.0 -85.471148,-37.149911,0.0 -84.709474,-37.813506,0.0 -83.801118,-38.356197,0.0 -82.775124,-38.758674,0.0 -81.666781,-39.00628,0.0 -80.516021,-39.089856,0.0 -79.365261,-39.00628,0.0 -78.256918,-38.758674,0.0 -77.230925,-38.356197,0.0 -76.322569,-37.813506,0.0 -75.560894,-37.149911,0.0 -74.96778,-36.388368,0.0 -74.557664,-35.554393,0.0 -74.337797,-34.675001,0.0 -74.308856,-33.777727,0.0 -74.465744,-32.889755,0.0 -74.798445,-32.037183,0.0 -75.292847,-31.244394,0.0 -75.931476,-30.533531,0.0 -76.694146,-29.924063,0.0 -77.558513,-29.432418,0.0 -78.500567,-29.071687,0.0 -79.49508,-28.851393,0.0 -80.516021,-28.777315,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
England	0.996	0.066	0.72	0.214	Positive	0.5	<Polygon><outerBoundaryIs><LinearRing><coordinates>-1.350101,53.207137,0.0 -1.635867,53.191818,0.0 -1.912361,53.146359,0.0 -2.17067,53.072234,0.0 -2.402575,52.971835,0.0 -2.60085,52.848382,0.0 -2.759499,52.705806,0.0 -2.873929,52.5486,0.0 -2.941062,52.381671,0.0 -2.959366,52.210169,0.0 -2.928846,52.039327,0.0 -2.850969,51.874297,0.0 -2.728558,51.720001,0.0 -2.565659,51.580995,0.0 -2.367376,51.461344,0.0 -2.13971,51.364518,0.0 -1.889378,51.293306,0.0 -1.623637,51.249749,0.0 -1.350101,51.23509,0.0 -1.076565,51.249749,0.0 -0.810824,51.293306,0.0 -0.560492,51.364518,0.0 -0.332826,51.461344,0.0 -0.134543,51.580995,0.0 0.028357,51.720001,0.0 0.150767,51.874297,0.0 0.228644,52.039327,0.0 0.259164,52.210169,0.0 0.24086,52.381671,0.0 0.173728,52.5486,0.0 0.059297,52.705806,0.0 -0.099352,52.848382,0.0 -0.297627,52.971835,0.0 -0.529532,53.072234,0.0 -0.787841,53.146359,0.0 -1.064335,53.191818,0.0 -1.350101,53.207137,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Lisbon	0.9994	0.039	0.831	0.13	Positive	0.5	<Polygon><outerBoundaryIs><LinearRing><coordinates>-8.831719,39.894824,0.0 -9.112539,39.875635,0.0 -9.384374,39.818682,0.0 -9.638571,39.725787,0.0 -9.867123,39.59991,0.0 -10.062944,39.445043,0.0 -10.220107,39.266065,0.0 -10.334009,39.068575,0.0 -10.401494,38.858701,0.0 -10.420904,38.642897,0.0 -10.392079,38.427741,0.0 -10.316314,38.219733,0.0 -10.196263,38.025102,0.0 -10.035826,37.849632,0.0 -9.839999,37.698499,0.0 -9.614715,37.576131,0.0 -9.366665,37.486098,0.0 -9.103116,37.431013,0.0 -8.831719,37.412473,0.0 -8.560323,37.431013,0.0 -8.296774,37.486098,0.0 -8.048724,37.576131,0.0 -7.82344,37.698499,0.0 -7.627613,37.849632,0.0 -7.467176,38.025102,0.0 -7.347125,38.219733,0.0 -7.271359,38.427741,0.0 -7.242535,38.642897,0.0 -7.261945,38.858701,0.0 -7.32943,39.068575,0.0 -7.443332,39.266065,0.0 -7.600494,39.445043,0.0 -7.796316,39.59991,0.0 -8.024867,39.725787,0.0 -8.279064,39.818682,0.0 -8.5509,39.875635,0.0 -8.831719,39.894824,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
Pamplona	-0.6498	0.079	0.844	0.077	Negative	-0.3	<Polygon><outerBoundaryIs><LinearRing><coordinates>-1.601829,44.638604,0.0 -2.110144,44.605835,0.0 -2.601381,44.508634,0.0 -3.059205,44.350265,0.0 -3.468713,44.136008,0.0 -3.81701,43.872936,0.0 -4.093645,43.569623,0.0 -4.29089,43.235808,0.0 -4.403868,42.882036,0.0 -4.430541,42.51929,0.0 -4.371589,42.158638,0.0 -4.230205,41.810896,0.0 -4.011846,41.486325,0.0 -3.723938,41.19436,0.0 -3.375583,40.943373,0.0 -2.97726,40.740482,0.0 -2.54053,40.591385,0.0 -2.077756,40.500239,0.0 -1.601829,40.469574,0.0 -1.125902,40.500239,0.0 -0.663128,40.591385,0.0 -0.226398,40.740482,0.0 0.171925,40.943373,0.0 0.52028,41.19436,0.0 0.808188,41.486325,0.0 1.026547,41.810896,0.0 1.16793,42.158638,0.0 1.226883,42.51929,0.0 1.20021,42.882036,0.0 1.087232,43.235808,0.0 0.889987,43.569623,0.0 0.613352,43.872936,0.0 0.265055,44.136008,0.0 -0.144453,44.350265,0.0 -0.602278,44.508634,0.0 -1.093514,44.605835,0.0 -1.601829,44.638604,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>
