Location	Latitude	Longitude	Vader 	Stanford	My Score	AntConc Collocation
Australia	-25.274398	133.775136	Positive	Negative	Neutral	suppressed, persevered, penetration, inconspicuous
Batavia	-6.17511	106.8650395	Negative	Negative	Negative	enjoying, deaths, unhealthy, wrought, voyage, sad, ruin
Cape of Good Hope	51.7497305	-1.2438631	Positive	Negative	Positive	hope, foreigners, refreshing 
Cape Horn	-55.983333	-67.2666668	Positive	Negative	Positive	tour, clouded, wheat, indraught, herb
Cape Town	-33.9248685	18.4240553	Negative	Negative	Negative	mason, exorbitant, bred, messrs, polite, civil, town, alarm
England	52.3555177	-1.1743197	Positive	Neutral	Positive	sfferings, riddle, parrots, losses, raisins, quality, reign 
France	46.227638	2.213749	Negative	Negative	Neutral	vanilla, outbreak, coconauts, dominion, decimated, exports, cotton, beautiful, flourishing 
Hawaii	19.8967662	-155.5827818	Negative	Negative	Neutral	terminated, sandwich, race, death, fleet, ships, captain
Huaheine	-16.7402947	-151.0238481	Negative	Negative	Negative	medals, coins, destrouyed, stamp, severe, reproduction, inscription, goat, contigious
Makassar	-5.1476651	119.4327314	Negative	Negative	Negative	losing, earnestly, disappointed, struggled, inhospitable, winds
Marquesas	-9.7812162	-139.0817124	Positive	Negative	Positive	statues, Solomons, Peru, colossal, colonies
Morai	43.5990002	-79.7753037	Negative	Negative	Negative	revulsion, reinforcements, godlike, friendliness, sacred, reigned, assailants, priest, musket
New Caledonia	-20.904305	165.618042	Negative	Negative	Neutral	admendments, dimensions, reality, Guinea, Zealand
Quebec	52.9399159	-73.5491361	Positive	Positive	Positive	surveyor, army, attacking, channels
Queen Charlotte Sound	51.8573226	-128.8606232	Negative	Negative	Negative	horrible, towing, overpowered, murtherers maze
Rio Janeiro	-22.9068467	-43.1728965	Negative	Negative	Neutral	misapprehension, struggled, silence, merchant
Santa Cruz Islands	-10.9565476	166.3621367	Negative	Negative	Negative	hoping, missing, grave
Sandwich Islands	-54.429579	-36.587909	Negative	Negative	Negative	tract, speculative, Hawaii, union, temporary, suspicion 
Straits of Magellan	-53.5888172	-70.759749	Negative	Negative	Negative	limited, provisions, carried
Tahiti	-17.6509195	-149.4260421	Positive	Positive	Positive	missionary, repell, invasions, delights, convert, victory, spoils, pearls
Tanna	-19.5154862	169.3578201	Positive	Negative	Positive	gush, forthright, intercourse, hot, watering, harbour, ship, island
Taraiopu	22.4888038	72.6579865	Positive	Neutral	Positive	entreaties, consented, conduct, written, priests, killed, king, wife
Timor	-9.8627946	124.3310364	Negative	Negative	Negative	unwillingly, objections, yielded, productions, annually
Tonga/Friendly Islands	-21.178986	-175.198242	Positive	Positive	Positive	refreshment, England, opportunity
Ulietea	-16.8164132	-151.4552213	Positive	Negative	Negative	mild, inaccessible, borders, deserted, sovereignty
