Location	Latitude	Longitude	Vader 	Stanford	My Score	AntConc Collocation
Africa	-8.783195	34.508523	Negative	Negative	Negative	vulgarly, enterprises, productions, leopards, sailors, desert, tigers, shipwrecked, perished, lions, skins, misfortunes
America	37.09024	-95.712891	Negative	Negative	Negative	Virginians, maps, cruelties, barbarities, natives, millions, colonies, destroyed, Christian, spread, Spaniards
Brazil	-14.235004	-51.92528	Negative	Negative	Neutral	coin, Indies, Guiana, fleets
Cadiz	36.5270612	-6.2885962	Negative	Negative	Negative	resolutions, bay, Spain, horrid, 
Cape de Verde	16.5388	-23.0418	Positive	Negative	Positive	seaward, Gambia, European, hopes, voyage
Caribbean	21.4691137	-78.6568942	Negative	Negative	Negative	eaters, cannibals, eaten, killed, man
Cromer	52.931448	1.301866	Positive	Negative	Neutral	lighthouse, westward, violence, wind, land
Dunkirk	51.0343684	2.3767763	Negative	Negative	Negative	battle, against, Spaniards
England	52.3555177	-1.1743197	Positive	Negative	Positive	notorious, corruption, accustomed, tough, subdued, workmen, wives
France	46.227638	2.213749	Positive	Negative	Neutral	travellers, passage, Calais, Dover, Madrid
Guinea	9.945587	-9.696645	Positive	Negative	Positive	secrecy, elephants, trading, purchased, Indies, grains, misfortune
Kingston Upon Hull	53.7456709	-0.3367413	Positive	Neutral	Neutral	merchandise, elopement, rebel, hazy, fool, authority
Lisbon, Portugal	38.7222524	-9.1393366	Positive	Neutral	Neutral	prosperity, sale, negro, shipping, write, pay, merchant, fleet, Portuguese
London, England	51.5073509	-0.1277583	Positive	Negative	Neutral	adventurer, allurement, purchased, owners, merchant
Madrid, Spain	40.4167754	-3.7037902	Negative	Negative	Negative	rivers, strangers, France, alarmed, tedious, difficult, edge, adventures
Pampeluna	42.812526	-1.6457745	Negative	Negative	Negative	snowing, mountains, severest, extreme, travllers, winter, hazard
Sale, Morocco	34.0336969	-6.7708138	Negative	Negative	Negative	Turkish, Turks, rovers, moors, war, emperor, devoured, prisoners
Spain	40.463667	-3.74922	Negative	Negative	Negative	treasure, strangers, race, court, kings, court, kingdom, prisoner
Toulouse, France	43.604652	1.444209	Negative	Negative	Positive	travellers, frutful, Paris forest, warm, pleasant, snow, wolves
Yarmouth 	52.598233	1.728047	Negative	Negative	Negative	separated, war, slave, escaped, drowned, destroyed
Yarmouth Roads	53.12711533	1.040816681	Positive	Negative	Negative	war, slave, mercy, fight, ill
York, England	53.9599651	-1.0872979	Positive	Neutral	Neutral	foreigner, city, married, relations, estate, adventures, trade
Yorkshire, England	53.791544	-1.551893	Negative	Negative	Negative	extinct, travelling, smiles, pleased, proper, dead
